ID,Name,StudyHours,Attendance,Marks,Grade,Performance,Performance_Score
162,Student_162,6.7,58,87.2,A,Low,65.26
167,Student_167,3.9,84,90.5,A,Low,71.88
169,Student_169,1.4,67,94.1,A,Low,70.14
173,Student_173,5.6,81,93.7,A,Medium,73.54
188,Student_188,6.0,78,97.4,A,Medium,75.24
193,Student_193,9.1,61,86.5,A,Medium,65.91999999999999
199,Student_199,9.0,54,85.9,A,Low,64.14
203,Student_203,2.5,64,98.1,A,Low,72.16
205,Student_205,6.5,57,86.2,A,Low,64.42
211,Student_211,5.9,86,86.5,A,Medium,70.28
215,Student_215,7.4,54,98.1,A,Low,71.14
216,Student_216,3.1,62,87.9,A,Low,65.76
222,Student_222,6.1,78,88.7,A,Medium,70.03999999999999
226,Student_226,3.2,83,95.7,A,Low,74.66000000000001
232,Student_232,5.5,55,96.6,A,Low,70.05999999999999
236,Student_236,7.5,89,93.2,A,High,75.22
239,Student_239,6.8,97,89.0,A,High,74.16
240,Student_240,2.6,90,91.7,A,Low,73.54
241,Student_241,9.5,62,90.8,A,Medium,68.78
242,Student_242,9.6,92,95.1,A,High,77.38
244,Student_244,4.3,74,85.3,A,Medium,66.84
246,Student_246,9.4,85,90.5,A,High,73.17999999999999
248,Student_248,9.7,87,86.6,A,High,71.3
252,Student_252,4.5,94,99.1,A,Medium,79.16
253,Student_253,8.7,100,96.2,A,High,79.46
258,Student_258,7.3,81,89.1,A,High,71.11999999999999
261,Student_261,6.5,88,90.4,A,High,73.14
269,Student_269,4.2,61,92.4,A,Medium,68.48
271,Student_271,8.3,51,85.7,A,Low,63.28
277,Student_277,8.2,90,99.5,A,High,79.33999999999999
280,Student_280,8.2,80,88.0,A,High,70.44
287,Student_287,5.2,68,87.0,A,Medium,66.84
290,Student_290,6.3,59,85.7,A,Low,64.48
294,Student_294,4.2,77,97.5,A,Medium,74.74000000000001
299,Student_299,6.6,71,92.6,A,Medium,71.07999999999998
300,Student_300,1.8,53,99.8,A,Low,70.83999999999999
304,Student_304,6.7,99,93.2,A,High,77.06
312,Student_312,1.7,50,87.7,A,Low,62.96
323,Student_323,6.9,61,88.3,A,Medium,66.55999999999999
325,Student_325,9.6,78,89.5,A,Medium,71.22
330,Student_330,3.2,64,87.1,A,Low,65.7
332,Student_332,7.8,100,87.3,A,High,73.94
342,Student_342,5.3,84,99.9,A,Medium,77.8
343,Student_343,2.6,62,96.0,A,Low,70.52
347,Student_347,6.7,78,87.1,A,Medium,69.2
350,Student_350,6.6,81,90.4,A,High,71.75999999999999
359,Student_359,9.5,66,89.9,A,Medium,69.04
363,Student_363,5.1,70,96.4,A,Medium,72.86
366,Student_366,4.5,86,92.4,A,Medium,73.54
367,Student_367,9.7,69,90.5,A,Medium,70.03999999999999
369,Student_369,2.8,68,88.2,A,Low,67.08000000000001
378,Student_378,1.2,74,85.9,A,Low,66.58
382,Student_382,7.3,64,85.1,A,Medium,65.32
384,Student_384,8.9,65,97.4,A,Medium,73.22
390,Student_390,8.3,78,94.4,A,Medium,73.9
393,Student_393,4.3,76,85.6,A,Medium,67.41999999999999
395,Student_395,4.1,99,86.6,A,Medium,72.57999999999998
400,Student_400,7.8,73,94.4,A,Medium,72.80000000000001
405,Student_405,3.9,74,94.0,A,Low,71.98
408,Student_408,1.1,56,97.8,A,Low,70.1
410,Student_410,1.8,93,96.2,A,Low,76.67999999999999
415,Student_415,6.7,97,98.9,A,High,80.08000000000001
432,Student_432,7.9,81,91.6,A,High,72.74
441,Student_441,1.8,71,96.7,A,Low,72.58
442,Student_442,9.9,100,91.0,A,High,76.58
450,Student_450,1.8,65,88.4,A,Low,66.39999999999999
453,Student_453,4.8,69,87.2,A,Medium,67.08
458,Student_458,5.2,99,85.4,A,Medium,72.08000000000001
461,Student_461,2.1,82,92.7,A,Low,72.44
462,Student_462,6.8,82,92.8,A,High,73.44
463,Student_463,7.7,90,92.2,A,High,74.86
466,Student_466,4.4,82,99.1,A,Medium,76.74
467,Student_467,3.6,62,86.3,A,Low,64.89999999999999
476,Student_476,9.9,99,89.3,A,High,75.36
478,Student_478,6.0,83,86.5,A,High,69.7
479,Student_479,9.7,91,97.9,A,High,78.88
483,Student_483,5.1,60,87.6,A,Medium,65.58
486,Student_486,9.1,58,87.9,A,Low,66.16
488,Student_488,3.5,58,94.9,A,Low,69.24000000000001
492,Student_492,6.6,90,87.6,A,High,71.88
494,Student_494,2.7,61,91.4,A,Low,67.58000000000001
495,Student_495,5.2,57,94.4,A,Low,69.08000000000001
497,Student_497,6.3,99,99.0,A,High,80.46000000000001
501,Student_501,7.3,56,93.6,A,Low,68.82
507,Student_507,9.2,71,92.9,A,Medium,71.78
508,Student_508,8.4,75,88.2,A,Medium,69.60000000000001
510,Student_510,7.5,90,98.0,A,High,78.3
512,Student_512,4.8,63,99.0,A,Medium,72.96
516,Student_516,1.2,72,92.9,A,Low,70.38
527,Student_527,4.7,78,91.5,A,Medium,71.44
528,Student_528,3.5,81,89.1,A,Low,70.36
533,Student_533,10.0,67,89.3,A,Medium,68.98
537,Student_537,8.6,81,89.7,A,High,71.74
541,Student_541,9.6,59,89.6,A,Low,67.48
551,Student_551,5.7,70,90.5,A,Medium,69.44
553,Student_553,6.0,73,98.7,A,Medium,75.02
561,Student_561,7.3,99,91.3,A,High,76.03999999999999
563,Student_563,2.2,100,90.2,A,Low,74.56
573,Student_573,4.6,55,96.3,A,Low,69.7
574,Student_574,6.6,88,92.3,A,High,74.29999999999998
575,Student_575,8.8,91,86.0,A,High,71.56
576,Student_576,9.5,100,87.3,A,High,74.28
579,Student_579,5.4,52,94.4,A,Low,68.12
585,Student_585,6.7,82,91.9,A,High,72.88000000000001
588,Student_588,2.2,57,98.6,A,Low,71.0
593,Student_593,2.6,91,95.1,A,Low,75.77999999999999
595,Student_595,9.1,63,91.5,A,Medium,69.32
597,Student_597,7.0,51,94.6,A,Low,68.36
598,Student_598,2.6,86,85.2,A,Low,68.83999999999999
599,Student_599,2.7,54,88.3,A,Low,64.32000000000001
601,Student_601,2.5,94,97.8,A,Low,77.97999999999999
604,Student_604,1.8,63,89.8,A,Low,66.83999999999999
606,Student_606,5.1,74,92.4,A,Medium,71.26
620,Student_620,7.7,61,94.2,A,Medium,70.26
621,Student_621,2.7,85,91.1,A,Low,72.2
628,Student_628,7.7,52,87.7,A,Low,64.56
631,Student_631,7.4,59,99.7,A,Low,73.10000000000001
635,Student_635,2.0,79,89.9,A,Low,70.14000000000001
639,Student_639,3.4,69,94.6,A,Low,71.24000000000001
641,Student_641,1.2,92,89.8,A,Low,72.52
642,Student_642,3.9,61,92.7,A,Low,68.6
648,Student_648,7.1,96,86.4,A,High,72.46000000000001
650,Student_650,5.5,61,93.6,A,Medium,69.46
662,Student_662,9.9,63,97.0,A,Medium,72.78
688,Student_688,3.5,88,88.2,A,Low,71.22000000000001
692,Student_692,4.8,99,95.9,A,Medium,78.3
699,Student_699,2.4,65,92.5,A,Low,68.98
702,Student_702,1.5,57,99.6,A,Low,71.46
708,Student_708,8.3,81,94.5,A,High,74.55999999999999
712,Student_712,6.4,71,89.4,A,Medium,69.12
713,Student_713,5.2,96,97.3,A,Medium,78.62
714,Student_714,4.7,83,89.3,A,Medium,71.12
728,Student_728,8.2,61,85.1,A,Medium,64.89999999999999
732,Student_732,8.3,95,96.5,A,High,78.56
739,Student_739,5.0,63,94.8,A,Medium,70.47999999999999
741,Student_741,5.2,54,92.4,A,Low,67.28000000000002
744,Student_744,5.5,77,94.1,A,Medium,72.96
759,Student_759,9.0,53,90.7,A,Low,66.82000000000001
765,Student_765,1.3,68,87.3,A,Low,66.24
767,Student_767,7.9,83,87.9,A,High,70.92
768,Student_768,8.9,67,89.3,A,Medium,68.76
769,Student_769,4.1,62,91.5,A,Medium,68.11999999999999
770,Student_770,8.4,90,95.0,A,High,76.68
782,Student_782,5.9,61,93.4,A,Medium,69.42
796,Student_796,8.8,75,99.3,A,Medium,76.34
803,Student_803,6.2,51,97.8,A,Low,70.11999999999999
810,Student_810,2.0,97,85.4,A,Low,71.04
813,Student_813,2.1,77,94.0,A,Low,72.22
815,Student_815,8.8,75,97.4,A,Medium,75.2
817,Student_817,6.3,61,93.3,A,Medium,69.44
820,Student_820,4.0,97,99.0,A,Medium,79.6
822,Student_822,1.0,64,97.7,A,Low,71.62
830,Student_830,5.1,95,85.7,A,Medium,71.44
831,Student_831,3.0,99,90.0,A,Low,74.39999999999999
839,Student_839,6.2,96,98.0,A,High,79.24
848,Student_848,10.0,62,99.6,A,Medium,74.16
849,Student_849,5.5,71,92.8,A,Medium,70.97999999999999
859,Student_859,6.1,77,97.8,A,Medium,75.3
860,Student_860,1.6,84,94.6,A,Low,73.88
863,Student_863,5.7,91,92.2,A,Medium,74.66
865,Student_865,4.6,79,87.4,A,Medium,69.16000000000001
867,Student_867,2.4,51,87.7,A,Low,63.3
869,Student_869,8.8,62,92.6,A,Medium,69.72
870,Student_870,9.5,53,96.6,A,Low,70.46000000000001
873,Student_873,6.8,79,98.9,A,Medium,76.5
875,Student_875,1.2,56,91.8,A,Low,66.52
880,Student_880,3.0,62,85.7,A,Low,64.42
885,Student_885,8.2,91,91.9,A,High,74.98
886,Student_886,2.6,85,98.8,A,Low,76.8
888,Student_888,3.1,53,89.7,A,Low,65.04
891,Student_891,7.5,93,97.4,A,High,78.53999999999999
894,Student_894,4.6,96,91.2,A,Medium,74.84
896,Student_896,2.8,71,90.8,A,Low,69.24
897,Student_897,3.6,70,93.6,A,Low,70.88
899,Student_899,1.1,77,93.0,A,Low,71.42
903,Student_903,2.6,64,95.6,A,Low,70.67999999999999
912,Student_912,3.4,76,88.3,A,Low,68.86
915,Student_915,6.0,99,97.4,A,High,79.44
919,Student_919,7.9,88,89.7,A,High,73.0
926,Student_926,1.2,82,85.2,A,Low,67.75999999999999
927,Student_927,3.4,99,86.1,A,Low,72.14
930,Student_930,3.3,98,90.8,A,Low,74.74
940,Student_940,6.2,64,88.5,A,Medium,67.14
941,Student_941,3.5,84,96.9,A,Low,75.64
943,Student_943,6.9,56,97.3,A,Low,70.96
948,Student_948,9.1,63,87.7,A,Medium,67.03999999999999
956,Student_956,4.4,52,88.2,A,Low,64.2
957,Student_957,5.7,91,95.8,A,Medium,76.82
959,Student_959,2.5,90,94.4,A,Low,75.14
964,Student_964,4.5,95,98.7,A,Medium,79.12
969,Student_969,6.1,91,93.3,A,High,75.39999999999999
978,Student_978,1.5,85,89.4,A,Low,70.94
979,Student_979,5.5,52,88.2,A,Low,64.42
983,Student_983,2.0,55,86.5,A,Low,63.3
998,Student_998,2.2,99,90.4,A,Low,74.48
