ID,Name,StudyHours,Attendance,Marks,Grade,Performance,Performance_Score
437,Student_437,1.7,87,44.9,D,Low,44.68000000000001
440,Student_440,1.7,60,49.9,D,Low,42.28
448,Student_448,7.8,81,43.7,D,High,43.980000000000004
452,Student_452,6.0,77,,D,Medium,
454,Student_454,9.2,82,52.1,D,High,49.5
456,Student_456,5.4,89,49.9,D,Medium,48.81999999999999
460,Student_460,2.1,51,52.3,D,Low,42.0
464,Student_464,6.3,62,54.3,D,Medium,46.239999999999995
468,Student_468,8.8,75,41.6,D,Medium,41.72
469,Student_469,3.0,71,43.9,D,Low,41.14
471,Student_471,1.1,51,,D,Low,
474,Student_474,9.0,75,46.3,D,Medium,44.58
480,Student_480,5.7,93,52.2,D,Medium,51.06
490,Student_490,9.0,80,49.5,D,High,47.5
498,Student_498,1.7,77,48.4,D,Low,44.78
499,Student_499,9.8,69,52.1,D,Medium,47.02
500,Student_500,9.9,96,51.1,D,High,51.839999999999996
503,Student_503,3.8,69,49.1,D,Low,44.02
506,Student_506,2.5,55,45.0,D,Low,38.5
515,Student_515,1.4,61,50.0,D,Low,42.480000000000004
518,Student_518,8.3,62,49.7,D,Medium,43.879999999999995
519,Student_519,9.9,74,40.8,D,Medium,41.26
523,Student_523,9.7,95,,D,High,
524,Student_524,8.6,85,44.8,D,High,45.599999999999994
526,Student_526,5.2,57,51.2,D,Low,43.16
536,Student_536,9.5,86,,D,High,
539,Student_539,5.1,52,50.4,D,Low,41.660000000000004
542,Student_542,6.5,100,46.0,D,High,48.89999999999999
543,Student_543,3.1,84,54.4,D,Low,50.059999999999995
544,Student_544,7.0,78,48.5,D,Medium,46.1
555,Student_555,8.9,86,47.6,D,High,47.54
559,Student_559,7.8,69,44.2,D,Medium,41.88
560,Student_560,6.6,73,50.5,D,Medium,46.22
562,Student_562,2.9,98,53.6,D,Low,52.339999999999996
568,Student_568,4.9,85,,D,Medium,
569,Student_569,9.1,51,52.8,D,Low,43.699999999999996
570,Student_570,4.1,64,42.0,D,Medium,38.82
577,Student_577,2.3,100,,D,Low,
582,Student_582,9.8,89,46.7,D,High,47.78
589,Student_589,2.2,85,46.6,D,Low,45.4
591,Student_591,2.2,79,42.5,D,Low,41.739999999999995
600,Student_600,1.4,87,41.1,D,Low,42.34
607,Student_607,2.9,69,46.8,D,Low,42.459999999999994
610,Student_610,7.2,55,45.8,D,Low,39.919999999999995
611,Student_611,1.4,66,54.5,D,Low,46.18
612,Student_612,8.2,74,,D,Medium,
619,Student_619,8.3,89,,D,High,
624,Student_624,5.4,96,,D,Medium,
625,Student_625,6.6,80,51.1,D,High,47.98
626,Student_626,4.3,60,44.7,D,Medium,39.68
627,Student_627,5.2,59,54.4,D,Low,45.48
629,Student_629,1.3,63,42.1,D,Low,38.12
632,Student_632,9.1,78,,D,Medium,
633,Student_633,5.6,59,,D,Low,
634,Student_634,5.8,61,43.8,D,Medium,39.63999999999999
637,Student_637,5.8,50,46.9,D,Low,39.3
638,Student_638,3.2,54,45.6,D,Low,38.8
651,Student_651,1.8,86,,D,Low,
656,Student_656,2.1,96,54.2,D,Low,52.14000000000001
658,Student_658,4.3,55,46.3,D,Low,39.64
659,Student_659,6.8,93,,D,High,
667,Student_667,3.2,75,44.3,D,Low,42.22
668,Student_668,2.4,78,,D,Low,
671,Student_671,2.6,55,42.7,D,Low,37.14000000000001
672,Student_672,9.1,86,48.4,D,High,48.059999999999995
674,Student_674,5.7,82,,D,Medium,
677,Student_677,2.0,63,51.8,D,Low,44.08
680,Student_680,8.8,69,52.4,D,Medium,46.99999999999999
682,Student_682,3.3,73,40.3,D,Low,39.44
683,Student_683,2.5,92,40.5,D,Low,43.2
684,Student_684,7.0,83,53.1,D,High,49.86
685,Student_685,9.4,74,42.2,D,Medium,42.00000000000001
686,Student_686,6.0,99,46.5,D,High,48.900000000000006
691,Student_691,3.9,92,,D,Low,
694,Student_694,3.2,93,45.2,D,Low,46.36
696,Student_696,6.5,69,46.8,D,Medium,43.17999999999999
698,Student_698,6.2,94,,D,High,
703,Student_703,4.0,99,47.9,D,Medium,49.339999999999996
715,Student_715,4.1,50,40.1,D,Low,34.88
717,Student_717,8.5,92,43.1,D,High,45.96000000000001
719,Student_719,2.1,79,43.6,D,Low,42.38
722,Student_722,2.6,66,46.9,D,Low,41.86
725,Student_725,6.2,96,,D,High,
726,Student_726,8.6,89,47.3,D,High,47.9
729,Student_729,2.8,76,,D,Low,
730,Student_730,2.5,57,44.8,D,Low,38.78
737,Student_737,4.5,80,40.6,D,Medium,41.26
743,Student_743,7.7,75,47.2,D,Medium,44.86
745,Student_745,3.1,51,44.0,D,Low,37.22
747,Student_747,4.5,55,48.5,D,Low,40.99999999999999
748,Student_748,5.9,58,40.7,D,Low,37.2
753,Student_753,6.6,62,42.6,D,Medium,39.28
754,Student_754,4.0,58,47.4,D,Low,40.839999999999996
779,Student_779,7.5,70,50.0,D,Medium,45.5
781,Student_781,7.2,50,48.6,D,Low,40.599999999999994
784,Student_784,4.1,64,49.3,D,Medium,43.199999999999996
785,Student_785,2.6,70,41.5,D,Low,39.42
789,Student_789,5.2,82,44.3,D,Medium,44.02
795,Student_795,1.2,87,53.1,D,Low,49.50000000000001
799,Student_799,7.3,57,48.4,D,Low,41.9
801,Student_801,7.4,63,41.7,D,Medium,39.1
805,Student_805,4.8,58,42.3,D,Low,37.940000000000005
806,Student_806,7.6,52,41.9,D,Low,37.06
808,Student_808,9.3,75,49.6,D,Medium,46.62
809,Student_809,5.1,57,41.4,D,Low,37.260000000000005
814,Student_814,9.3,78,47.0,D,Medium,45.66
819,Student_819,1.5,83,,D,Low,
827,Student_827,4.1,97,49.2,D,Medium,49.74
828,Student_828,4.1,72,,D,Medium,
832,Student_832,5.1,93,,D,Medium,
835,Student_835,5.5,70,51.7,D,Medium,46.12
836,Student_836,4.8,72,43.5,D,Medium,41.46
843,Student_843,2.6,60,48.4,D,Low,41.56
850,Student_850,6.4,68,,D,Medium,
853,Student_853,2.9,53,52.1,D,Low,42.44
855,Student_855,2.8,95,42.4,D,Low,45.0
858,Student_858,5.2,96,53.7,D,Medium,52.46
864,Student_864,5.0,85,47.8,D,Medium,46.67999999999999
866,Student_866,6.0,67,47.5,D,Medium,43.1
871,Student_871,4.4,75,48.9,D,Medium,45.22
876,Student_876,2.4,80,,D,Low,
879,Student_879,1.2,88,52.2,D,Low,49.160000000000004
889,Student_889,1.9,56,,D,Low,
892,Student_892,8.7,94,52.0,D,High,51.74
893,Student_893,8.5,91,46.6,D,High,47.86
898,Student_898,9.1,71,43.7,D,Medium,42.24
904,Student_904,6.2,59,41.1,D,Low,37.7
906,Student_906,9.0,91,,D,High,
909,Student_909,3.3,65,48.1,D,Low,42.519999999999996
911,Student_911,6.3,75,,D,Medium,
914,Student_914,4.7,53,52.6,D,Low,43.099999999999994
916,Student_916,4.9,73,40.5,D,Medium,39.88
917,Student_917,3.7,68,,D,Low,
921,Student_921,8.8,74,40.9,D,Medium,41.1
923,Student_923,9.1,68,,D,Medium,
925,Student_925,4.8,59,,D,Low,
929,Student_929,6.7,96,,D,High,
932,Student_932,8.5,93,45.3,D,High,47.480000000000004
934,Student_934,5.7,82,44.7,D,Medium,44.36
937,Student_937,1.2,71,44.0,D,Low,40.84
939,Student_939,2.1,86,46.7,D,Low,45.64
942,Student_942,6.0,77,44.3,D,Medium,43.18
946,Student_946,1.1,59,44.6,D,Low,38.78
950,Student_950,6.4,74,43.0,D,Medium,41.88
951,Student_951,6.4,51,,D,Low,
954,Student_954,9.2,70,53.9,D,Medium,48.17999999999999
962,Student_962,6.4,88,53.6,D,High,51.04
968,Student_968,3.7,87,47.4,D,Low,46.580000000000005
972,Student_972,9.4,94,,D,High,
974,Student_974,2.9,85,44.3,D,Low,44.16
976,Student_976,3.4,86,54.5,D,Low,50.57999999999999
982,Student_982,7.9,82,48.6,D,High,47.14
987,Student_987,7.2,62,,D,Medium,
989,Student_989,3.2,51,43.3,D,Low,36.82
992,Student_992,7.3,76,40.0,D,Medium,40.660000000000004
994,Student_994,6.3,70,42.8,D,Medium,40.93999999999999
997,Student_997,9.3,57,43.8,D,Low,39.54
999,Student_999,9.6,52,40.2,D,Low,36.440000000000005
1000,Student_1000,5.0,93,54.8,D,Medium,52.48
